DESCRIPCIÓN DE LA SERIE;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.;Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Entre 1 y 5 años. Conjunto EC UEM;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Rendimiento interno Deuda Pública 2 a 6 años. Mercado secundario;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Interbancario. Mibor a 1 año;Tipo de interés. Tipos legales. Interés legal;Tipo de interés. Tipos legales. interés Ley enjuiciamiento civil;Tipo de interés. Tipos legales. Interés de demora a efectos tributarios;Tipo de interés. Tipos legales. Interés de demora en operaciones comerciales;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A un año;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A dos años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A tres años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A cuatro años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A siete años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A diez años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A quince años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A veinte años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A treinta años;Tipo de interés. De referencia. Mercado hipotecario. Interbancario.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Tipo medio préstamos hipotecarios.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Deuda Pública de 2 a 6 años.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Fecha BOE IRS;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Importe agregado de préstamos;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Número de operaciones;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Entidades contribuidoras;
DESCRIPCIÓN DE LAS UNIDADES;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Fecha;Fecha;Fecha;Fecha;Porcentaje;Miles de Euros;Operaciones;Entidades;
FRECUENCIA;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;
SEP 2002;-;-;-;-;3,2360;4,8180;-;-;4,2030;3,2410;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Oct-19;2002-Oct-19;2002-Oct-19;-;4,8180;-;-;-;
OCT 2002;-;-;-;-;3,1260;4,6900;-;-;4,0270;3,1270;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Nov-21;2002-Nov-21;2002-Nov-21;-;4,6900;-;-;-;
NOV 2002;-;-;-;-;3,0170;4,5170;-;-;3,8570;3,0200;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Dic-21;2002-Dic-21;2002-Dic-21;-;4,5170;-;-;-;
DIC 2002;-;-;-;-;2,8730;4,3800;-;-;3,7030;2,8780;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2003-Ene-21;2003-Ene-21;2003-Ene-21;-;4,3800;-;-;-;
ENE 2003;-;-;-;-;2,7050;4,2520;-;-;3,5200;2,7030;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Feb-21;2003-Feb-21;2003-Feb-21;-;4,2520;-;-;-;
FEB 2003;-;-;-;-;2,5040;4,1460;-;-;3,3640;2,5130;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Mar-21;2003-Mar-21;2003-Mar-21;-;4,1460;-;-;-;
MAR 2003;-;-;-;-;2,4110;3,9760;-;-;3,2420;2,4200;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Abr-23;2003-Abr-23;2003-Abr-23;-;3,9760;-;-;-;
ABR 2003;-;-;-;-;2,4470;3,8860;-;-;3,1440;2,4580;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-May-23;2003-May-23;2003-May-23;-;3,8860;-;-;-;
MAY 2003;-;-;-;-;2,2520;3,8230;-;-;2,9900;2,2530;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Jun-23;2003-Jun-23;2003-Jun-23;-;3,8230;-;-;-;
JUN 2003;-;-;-;-;2,0140;3,7070;-;-;2,8220;2,0330;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Jul-23;2003-Jul-23;2003-Jul-23;-;3,7070;-;-;-;
JUL 2003;-;-;-;-;2,0760;3,5410;-;-;2,7450;2,0820;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Ago-23;2003-Ago-23;2003-Ago-23;-;3,5410;-;-;-;
AGO 2003;-;-;-;-;2,2790;3,4700;-;-;2,7770;2,2790;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Sep-22;2003-Sep-22;2003-Sep-22;-;3,4700;-;-;-;
SEP 2003;-;-;-;-;2,2580;3,4280;-;-;2,8030;2,2630;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Oct-22;2003-Oct-22;2003-Oct-22;-;3,4280;-;-;-;
OCT 2003;-;-;-;-;2,3030;3,4420;-;-;2,8220;2,2990;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Nov-22;2003-Nov-22;2003-Nov-22;-;3,4420;-;-;-;
NOV 2003;-;-;-;-;2,4100;3,4320;-;-;2,9040;2,4090;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Dic-22;2003-Dic-22;2003-Dic-22;-;3,4320;-;-;-;
DIC 2003;-;-;-;-;2,3810;3,4580;-;-;3,0230;2,3830;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2004-Ene-22;2004-Ene-22;2004-Ene-22;-;3,4580;-;-;-;
ENE 2004;-;-;-;-;2,2160;3,4750;-;-;3,0960;2,2200;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Feb-21;2004-Feb-21;2004-Feb-21;-;3,4750;-;-;-;
FEB 2004;-;-;-;-;2,1630;3,4460;-;-;3,1070;2,1660;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Mar-23;2004-Mar-23;2004-Mar-23;-;3,4460;-;-;-;
MAR 2004;-;-;-;-;2,0550;3,3580;-;-;3,0820;2,0560;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Abr-22;2004-Abr-22;2004-Abr-22;-;3,3580;-;-;-;
ABR 2004;-;-;-;-;2,1630;3,2790;-;-;3,0860;2,1640;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-May-22;2004-May-22;2004-May-22;-;3,2790;-;-;-;
MAY 2004;-;-;-;-;2,2970;3,2550;-;-;3,0860;2,2970;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Jun-23;2004-Jun-23;2004-Jun-23;-;3,2550;-;-;-;
JUN 2004;-;-;-;-;2,4040;3,3070;-;-;3,1270;2,4050;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Jul-23;2004-Jul-23;2004-Jul-23;-;3,3070;-;-;-;
JUL 2004;-;-;-;-;2,3610;3,3230;-;-;3,1530;2,3670;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Ago-21;2004-Ago-21;2004-Ago-21;-;3,3230;-;-;-;
AGO 2004;-;-;-;-;2,3020;3,3920;-;-;3,1420;2,3050;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Sep-24;2004-Sep-24;2004-Sep-24;-;3,3920;-;-;-;
SEP 2004;-;-;-;-;2,3770;3,3670;-;-;3,1690;2,3770;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Oct-23;2004-Oct-23;2004-Oct-23;-;3,3670;-;-;-;
OCT 2004;-;-;-;-;2,3160;3,3320;-;-;3,1360;2,3170;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Nov-22;2004-Nov-22;2004-Nov-22;-;3,3320;-;-;-;
NOV 2004;-;-;-;-;2,3280;3,3830;-;-;3,0760;2,3300;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Dic-23;2004-Dic-23;2004-Dic-23;-;3,3830;-;-;-;
DIC 2004;-;-;-;-;2,3010;3,3490;-;-;2,9660;2,3060;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2005-Ene-24;2005-Ene-24;2005-Ene-24;-;3,3490;-;-;-;
ENE 2005;-;-;-;-;2,3120;3,3340;-;-;2,8920;2,3140;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Feb-23;2005-Feb-23;2005-Feb-23;-;3,3340;-;-;-;
FEB 2005;-;-;-;-;2,3100;3,3320;-;-;2,8350;2,3080;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Mar-22;2005-Mar-22;2005-Mar-22;-;3,3320;-;-;-;
MAR 2005;-;-;-;-;2,3350;3,3430;-;-;2,8000;2,3330;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Abr-23;2005-Abr-23;2005-Abr-23;-;3,3430;-;-;-;
ABR 2005;-;-;-;-;2,2650;3,3250;-;-;2,7730;2,2700;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-May-23;2005-May-23;2005-May-23;-;3,3250;-;-;-;
MAY 2005;-;-;-;-;2,1930;3,3180;-;-;2,7270;2,1950;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Jun-25;2005-Jun-25;2005-Jun-25;-;3,3180;-;-;-;
JUN 2005;-;-;-;-;2,1030;3,2700;-;-;2,6650;2,1050;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Jul-23;2005-Jul-23;2005-Jul-23;-;3,2700;-;-;-;
JUL 2005;-;-;-;-;2,1680;3,1960;-;-;2,6050;2,1670;4,0000;6,0000;5,0000;9,0500;-;-;-;-;-;-;-;-;-;-;2005-Ago-23;2005-Ago-23;2005-Ago-23;-;3,1960;-;-;-;
AGO 2005;-;-;-;-;2,2230;3,1900;-;-;2,5770;2,2250;4,0000;6,0000;5,0000;9,0500;-;-;-;-;-;-;-;-;-;-;2005-Sep-23;2005-Sep-23;2005-Sep-23;-;3,1900;-;-;-;
SEP 2005;-;-;-;-;2,2190;3,1970;-;-;2,5180;2,2230;4,0000;6,0000;5,0000;9,0500;-;-;-;-;-;-;-;-;-;-;2005-Oct-21;2005-Oct-21;2005-Oct-21;-;3,1970;-;-;-;
OCT 2005;-;-;-;-;2,4140;3,2250;-;-;2,5110;2,4150;4,0000;6,0000;5,0000;9,0500;-;-;-;-;-;-;-;-;-;-;2005-Nov-23;2005-Nov-23;2005-Nov-23;-;3,2250;-;-;-;
NOV 2005;-;-;-;-;2,6840;3,2640;-;-;2,5830;2,6790;4,0000;6,0000;5,0000;9,0500;-;-;-;-;-;-;-;-;-;-;2005-Dic-23;2005-Dic-23;2005-Dic-23;-;3,2640;-;-;-;
DIC 2005;-;-;-;-;2,7830;3,4040;-;-;2,6870;2,7800;4,0000;6,0000;5,0000;9,0500;-;-;-;-;-;-;-;-;-;-;2006-Ene-24;2006-Ene-24;2006-Ene-24;-;3,4040;-;-;-;
ENE 2006;-;-;-;-;2,8330;3,5910;-;-;2,7810;2,8240;4,0000;6,0000;5,0000;9,2500;-;-;-;-;-;-;-;-;-;-;2006-Feb-23;2006-Feb-23;2006-Feb-23;-;3,5910;-;-;-;
FEB 2006;-;-;-;-;2,9140;3,7010;-;-;2,8770;2,9140;4,0000;6,0000;5,0000;9,2500;-;-;-;-;-;-;-;-;-;-;2006-Mar-23;2006-Mar-23;2006-Mar-23;-;3,7010;-;-;-;
MAR 2006;-;-;-;-;3,1050;3,7560;-;-;3,0320;3,1060;4,0000;6,0000;5,0000;9,2500;-;-;-;-;-;-;-;-;-;-;2006-Abr-22;2006-Abr-22;2006-Abr-22;-;3,7560;-;-;-;
ABR 2006;-;-;-;-;3,2210;3,8520;-;-;3,1610;3,2190;4,0000;6,0000;5,0000;9,2500;-;-;-;-;-;-;-;-;-;-;2006-May-24;2006-May-24;2006-May-24;-;3,8520;-;-;-;
MAY 2006;-;-;-;-;3,3080;4,0480;-;-;3,2620;3,3060;4,0000;6,0000;5,0000;9,2500;-;-;-;-;-;-;-;-;-;-;2006-Jun-24;2006-Jun-24;2006-Jun-24;-;4,0480;-;-;-;
JUN 2006;-;-;-;-;3,4010;4,1320;-;-;3,3740;3,3990;4,0000;6,0000;5,0000;9,2500;-;-;-;-;-;-;-;-;-;-;2006-Jul-24;2006-Jul-24;2006-Jul-24;-;4,1320;-;-;-;
JUL 2006;-;-;-;-;3,5390;4,2290;-;-;3,4960;3,5330;4,0000;6,0000;5,0000;9,8300;-;-;-;-;-;-;-;-;-;-;2006-Ago-24;2006-Ago-24;2006-Ago-24;-;4,2290;-;-;-;
AGO 2006;-;-;-;-;3,6150;4,3550;-;-;3,5820;3,6140;4,0000;6,0000;5,0000;9,8300;-;-;-;-;-;-;-;-;-;-;2006-Sep-23;2006-Sep-23;2006-Sep-23;-;4,3550;-;-;-;
SEP 2006;-;-;-;-;3,7150;4,4510;-;-;3,6300;3,7090;4,0000;6,0000;5,0000;9,8300;-;-;-;-;-;-;-;-;-;-;2006-Oct-23;2006-Oct-23;2006-Oct-23;-;4,4510;-;-;-;
OCT 2006;-;-;-;-;3,7990;4,5620;-;-;3,6500;3,7910;4,0000;6,0000;5,0000;9,8300;-;-;-;-;-;-;-;-;-;-;2006-Nov-24;2006-Nov-24;2006-Nov-24;-;4,5620;-;-;-;
NOV 2006;-;-;-;-;3,8640;4,6450;-;-;3,6660;3,8580;4,0000;6,0000;5,0000;9,8300;-;-;-;-;-;-;-;-;-;-;2006-Dic-23;2006-Dic-23;2006-Dic-23;-;4,6450;-;-;-;
DIC 2006;-;-;-;-;3,9210;4,7530;-;-;3,6820;3,9150;4,0000;6,0000;5,0000;9,8300;-;-;-;-;-;-;-;-;-;-;2007-Ene-22;2007-Ene-22;2007-Ene-22;-;4,7530;-;-;-;
ENE 2007;-;-;-;-;4,0640;4,8110;-;-;3,7270;4,0520;5,0000;7,0000;6,2500;10,5800;-;-;-;-;-;-;-;-;-;-;2007-Feb-22;2007-Feb-22;2007-Feb-22;-;4,8110;-;-;-;
FEB 2007;-;-;-;-;4,0940;4,8900;-;-;3,7860;4,0930;5,0000;7,0000;6,2500;10,5800;-;-;-;-;-;-;-;-;-;-;2007-Mar-23;2007-Mar-23;2007-Mar-23;-;4,8900;-;-;-;
MAR 2007;-;-;-;-;4,1060;4,9750;-;-;3,8360;4,1040;5,0000;7,0000;6,2500;10,5800;-;-;-;-;-;-;-;-;-;-;2007-Abr-23;2007-Abr-23;2007-Abr-23;-;4,9750;-;-;-;
ABR 2007;-;-;-;-;4,2530;5,0080;-;-;3,9070;4,2480;5,0000;7,0000;6,2500;10,5800;-;-;-;-;-;-;-;-;-;-;2007-May-23;2007-May-23;2007-May-23;-;5,0080;-;-;-;
MAY 2007;-;-;-;-;4,3730;5,0920;-;-;4,0130;4,3700;5,0000;7,0000;6,2500;10,5800;-;-;-;-;-;-;-;-;-;-;2007-Jun-23;2007-Jun-23;2007-Jun-23;-;5,0920;-;-;-;
JUN 2007;-;-;-;-;4,5050;5,1900;-;-;4,1390;4,4980;5,0000;7,0000;6,2500;10,5800;-;-;-;-;-;-;-;-;-;-;2007-Jul-23;2007-Jul-23;2007-Jul-23;-;5,1900;-;-;-;
JUL 2007;-;-;-;-;4,5640;5,3260;-;-;4,2360;4,5630;5,0000;7,0000;6,2500;11,0700;-;-;-;-;-;-;-;-;-;-;2007-Ago-23;2007-Ago-23;2007-Ago-23;-;5,3260;-;-;-;
AGO 2007;-;-;-;-;4,6660;5,4220;-;-;4,2700;4,6700;5,0000;7,0000;6,2500;11,0700;-;-;-;-;-;-;-;-;-;-;2007-Sep-22;2007-Sep-22;2007-Sep-22;-;5,4220;-;-;-;
SEP 2007;-;-;-;-;4,7240;5,4970;-;-;4,3090;4,7250;5,0000;7,0000;6,2500;11,0700;-;-;-;-;-;-;-;-;-;-;2007-Oct-23;2007-Oct-23;2007-Oct-23;-;5,4970;-;-;-;
OCT 2007;-;-;-;-;4,6470;5,5510;-;-;4,3090;4,6390;5,0000;7,0000;6,2500;11,0700;-;-;-;-;-;-;-;-;-;-;2007-Nov-22;2007-Nov-22;2007-Nov-22;-;5,5510;-;-;-;
NOV 2007;-;-;-;-;4,6070;5,5850;-;-;4,2540;4,5960;5,0000;7,0000;6,2500;11,0700;-;-;-;-;-;-;-;-;-;-;2007-Dic-22;2007-Dic-22;2007-Dic-22;-;5,5850;-;-;-;
DIC 2007;-;-;-;-;4,7930;5,5620;-;-;4,1810;4,7790;5,0000;7,0000;6,2500;11,0700;-;-;-;-;-;-;-;-;-;-;2008-Ene-22;2008-Ene-22;2008-Ene-22;-;5,5620;-;-;-;
ENE 2008;-;-;-;-;4,4980;5,6110;-;-;4,0580;4,5040;5,5000;7,5000;7,0000;11,2000;-;-;-;-;-;-;-;-;-;-;2008-Feb-23;2008-Feb-23;2008-Feb-23;-;5,6110;-;-;-;
FEB 2008;-;-;-;-;4,3490;5,5820;-;-;3,9430;4,3420;5,5000;7,5000;7,0000;11,2000;-;-;-;-;-;-;-;-;-;-;2008-Mar-24;2008-Mar-24;2008-Mar-24;-;5,5820;-;-;-;
MAR 2008;-;-;-;-;4,5900;5,4040;-;-;3,8600;4,5810;5,5000;7,5000;7,0000;11,2000;-;-;-;-;-;-;-;-;-;-;2008-Abr-19;2008-Abr-19;2008-Abr-19;-;5,4040;-;-;-;
ABR 2008;-;-;-;-;4,8200;5,4180;-;-;3,8230;4,8050;5,5000;7,5000;7,0000;11,2000;-;-;-;-;-;-;-;-;-;-;2008-May-23;2008-May-23;2008-May-23;-;5,4180;-;-;-;
MAY 2008;-;-;-;-;4,9940;5,5870;-;-;3,8590;4,9760;5,5000;7,5000;7,0000;11,2000;-;-;-;-;-;-;-;-;-;-;2008-Jun-21;2008-Jun-21;2008-Jun-21;-;5,5870;-;-;-;
JUN 2008;-;-;-;-;5,3610;5,7940;-;-;3,9750;5,3380;5,5000;7,5000;7,0000;11,2000;-;-;-;-;-;-;-;-;-;-;2008-Jul-22;2008-Jul-22;2008-Jul-22;-;5,7940;-;-;-;
JUL 2008;-;-;-;-;5,3930;6,0060;-;-;4,1300;5,3610;5,5000;7,5000;7,0000;11,0700;-;-;-;-;-;-;-;-;-;-;2008-Ago-23;2008-Ago-23;2008-Ago-23;-;6,0060;-;-;-;
AGO 2008;-;-;-;-;5,3230;6,2180;-;-;4,2490;5,2920;5,5000;7,5000;7,0000;11,0700;-;-;-;-;-;-;-;-;-;-;2008-Sep-19;2008-Sep-19;2008-Sep-19;-;6,2180;-;-;-;
SEP 2008;-;-;-;-;5,3840;6,2650;-;-;4,3410;5,3340;5,5000;7,5000;7,0000;11,0700;-;-;-;-;-;-;-;-;-;-;2008-Oct-25;2008-Oct-25;2008-Oct-25;-;6,2650;-;-;-;
OCT 2008;-;-;-;-;5,2480;6,2530;-;-;4,3150;5,2770;5,5000;7,5000;7,0000;11,0700;-;-;-;-;-;-;-;-;-;-;2008-Nov-21;2008-Nov-21;2008-Nov-21;-;6,2530;-;-;-;
NOV 2008;-;-;-;-;4,3500;6,2580;-;-;4,1900;4,4240;5,5000;7,5000;7,0000;11,0700;-;-;-;-;-;-;-;-;-;-;2008-Dic-18;2008-Dic-18;2008-Dic-18;-;6,2580;-;-;-;
DIC 2008;-;-;-;-;3,4520;5,8910;-;-;3,9600;3,4550;5,5000;7,5000;7,0000;11,0700;-;-;-;-;-;-;-;-;-;-;2009-Ene-03;2009-Ene-20;2009-Ene-03;-;5,8910;-;-;-;
ENE 2009;-;-;-;-;2,6220;4,9830;-;-;3,6820;2,6250;5,5000;7,5000;7,0000;9,5000;-;-;-;-;-;-;-;-;-;-;2009-Feb-03;2009-Feb-19;2009-Feb-03;-;4,9830;-;-;-;
FEB 2009;-;-;-;-;2,1350;4,3240;-;-;3,4640;2,1340;5,5000;7,5000;7,0000;9,5000;-;-;-;-;-;-;-;-;-;-;2009-Mar-03;2009-Mar-19;2009-Mar-03;-;4,3240;-;-;-;
MAR 2009;-;-;-;-;1,9090;3,8210;-;0,0900;3,2020;1,9080;5,5000;7,5000;7,0000;9,5000;-;-;-;-;0,0900;-;-;-;-;-;2009-Abr-02;2009-Abr-18;2009-Abr-02;-;3,8210;-;-;-;
ABR 2009;-;-;-;-;1,7710;3,5730;-;-;2,9800;1,7710;4,0000;6,0000;5,0000;9,5000;-;-;-;-;-;-;-;-;-;-;2009-May-06;2009-May-20;2009-May-06;-;3,5730;-;-;-;
MAY 2009;-;-;-;-;1,6440;3,4110;-;-;2,8320;1,6440;4,0000;6,0000;5,0000;9,5000;-;-;-;-;-;-;-;-;-;-;2009-Jun-02;2009-Jun-17;2009-Jun-02;-;3,4110;-;-;-;
JUN 2009;-;-;-;-;1,6100;3,2940;-;-;2,7480;1,6100;4,0000;6,0000;5,0000;9,5000;-;-;-;-;-;-;-;-;-;-;2009-Jul-02;2009-Jul-18;2009-Jul-02;-;3,2940;-;-;-;
JUL 2009;-;-;-;-;1,4120;3,1870;-;-;2,6630;1,4120;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2009-Ago-04;2009-Ago-21;2009-Ago-04;-;3,1870;-;-;-;
AGO 2009;-;-;-;-;1,3340;3,0840;-;-;2,5720;1,3340;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2009-Sep-02;2009-Sep-18;2009-Sep-02;-;3,0840;-;-;-;
SEP 2009;-;-;-;-;1,2610;2,9900;-;-;2,4960;1,2610;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2009-Oct-02;2009-Oct-17;2009-Oct-02;-;2,9900;-;-;-;
OCT 2009;-;-;-;-;1,2430;2,9210;-;-;2,4700;1,2430;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2009-Nov-03;2009-Nov-19;2009-Nov-03;-;2,9210;-;-;-;
NOV 2009;-;-;-;-;1,2310;2,8590;-;-;2,4370;1,2310;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2009-Dic-02;2009-Dic-18;2009-Dic-02;-;2,8590;-;-;-;
DIC 2009;-;-;-;-;1,2420;2,8190;-;-;2,3720;1,2410;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Ene-05;2010-Ene-20;2010-Ene-05;-;2,8190;-;-;-;
ENE 2010;-;-;-;-;1,2320;2,8100;-;-;2,3510;1,2320;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Feb-02;2010-Feb-18;2010-Feb-02;-;2,8100;-;-;-;
FEB 2010;-;-;-;-;1,2250;2,8130;-;-;2,3710;1,2530;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Mar-02;2010-Mar-18;2010-Mar-02;-;2,8130;-;-;-;
MAR 2010;-;-;-;-;1,2150;2,7800;-;-;2,3660;1,1990;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Abr-06;2010-Abr-21;2010-Abr-06;-;2,7800;-;-;-;
ABR 2010;-;-;-;-;1,2250;2,7860;-;-;2,3680;1,2220;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-May-04;2010-May-20;2010-May-04;-;2,7860;-;-;-;
MAY 2010;-;-;-;-;1,2490;2,6740;-;-;2,4570;1,2490;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Jun-02;2010-Jun-18;2010-Jun-02;-;2,6740;-;-;-;
JUN 2010;-;-;-;-;1,2810;2,7090;-;-;2,6500;1,2810;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Jul-02;2010-Jul-20;2010-Jul-02;-;2,7090;-;-;-;
JUL 2010;-;-;-;-;1,3730;2,7050;-;-;2,7390;1,3730;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Ago-04;2010-Ago-19;2010-Ago-04;-;2,7050;-;-;-;
AGO 2010;-;-;-;-;1,4210;2,7660;-;-;2,7580;1,4210;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Sep-02;2010-Sep-18;2010-Sep-02;-;2,7660;-;-;-;
SEP 2010;-;-;-;-;1,4200;2,7990;-;-;2,8500;1,4180;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Oct-02;2010-Oct-20;2010-Oct-02;-;2,7990;-;-;-;
OCT 2010;-;-;-;-;1,4950;2,7950;-;-;2,8850;1,4910;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Nov-03;2010-Nov-18;2010-Nov-03;-;2,7950;-;-;-;
NOV 2010;-;-;-;-;1,5400;2,8250;-;-;3,0050;1,5410;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2010-Dic-02;2010-Dic-18;2010-Dic-02;-;2,8250;-;-;-;
DIC 2010;-;-;-;-;1,5260;2,7740;-;-;3,1220;1,5250;4,0000;6,0000;5,0000;8,0000;-;-;-;-;-;-;-;-;-;-;2011-Ene-04;2011-Ene-21;2011-Ene-04;-;2,7740;-;-;-;
